Link of the Product,SKU,CampaignID,CampaignName,Keywords,Keywords Type,Current Bid,Adjust Bid,Ads Rank,Target Row Or Not,Max Bid
https://www.ebay.com.au/itm/185285029575,RED10ABE&FB10X10,,Fire extinguisher,fire extinguisher,PHRASE,0.18,,,True,
https://www.ebay.com.au/itm/185285029575,RED10ABE&FB10X10,,Fire extinguisher,fire blanket,PHRASE,0.17,,,True,
https://www.ebay.com.au/itm/185285029575,RED10ABE&FB10X10,,Fire extinguisher,car fire extinguisher,EXACT,0.34,,,True,
https://www.ebay.com.au/itm/185285029575,RED10ABE&FB10X10,,Fire extinguisher,fire extinguisher car,EXACT,1.2,,,True,
https://www.ebay.com.au/itm/185285029575,RED10ABE&FB10X10,,Fire extinguisher,fire blanket,EXACT,0.7,,,True,
https://www.ebay.com.au/itm/185285029575,RED10ABE&FB10X10,,Fire extinguisher,fire extinguisher,EXACT,0.88,,,True,
https://www.ebay.com.au/itm/185051227954,RED10ABE&FANCP30&FB10X10,,Fire extinguisher,fire blanket,PHRASE,0.35,,,True,
https://www.ebay.com.au/itm/185051227954,RED10ABE&FANCP30&FB10X10,,Fire extinguisher,fire extinguisher,PHRASE,0.4,,,True,
https://www.ebay.com.au/itm/185051227954,RED10ABE&FANCP30&FB10X10,,Fire extinguisher,first aid kit,PHRASE,0.72,,,True,
https://www.ebay.com.au/itm/185026756307,RED10ABE,,Fire extinguisher,fire extinguisher,PHRASE,0.6,,,True,
